ltable_item_name,rtable_item_name,label,TS code similarity,Python code Similarity
VECTRINE ERDOSTEINE 300MG (H/20V),Vectrine 300mg (2 Vi x 10 Vien),1,0.5416666666666666,0.5357142857142857
CTKM JEX 60 CHÀO XUÂN - THÁNG 1.2024,Vectrine 300mg (2 Vi x 10 Vien),0,0.0416666666666666,0.0
LIVERIL (H/30 VIEN),Vectrine 300mg (2 Vi x 10 Vien),0,0.4,0.23809523809523808
4547691239082 - Bao Cao Su Okamoto Vanilla 3's,Vectrine 300mg (2 Vi x 10 Vien),0,0.0,0.0
BCDR SENSODYNE SENSTIVTYGUM SOFT 1X1,Vectrine 300mg (2 Vi x 10 Vien),0,0.1132075471698113,0.1
GYNAPAX,Vectrine 300mg (2 Vi x 10 Vien),0,0.0,0.0
PRADAXA 110MG CAPS. B/30,Vectrine 300mg (2 Vi x 10 Vien),0,0.2,0.20408163265306123
LACTACYD DDVSPN PRO SENSITIVE 150ML,Vectrine 300mg (2 Vi x 10 Vien),0,0.1538461538461538,0.03278688524590164
DUREX GEL MASSAGE ALOE 200ML,Vectrine 300mg (2 Vi x 10 Vien),0,0.0888888888888888,0.07407407407407407
ATUSSIN TAB B/25BLX4,Atussin Tab 50mg(25vix4vien),1,0.5641025641025641,0.5416666666666666
"UTROGESTAN 200MG CAPSULE 1x7'S ,1x8'S",Atussin Tab 50mg(25vix4vien),0,0.1153846153846153,0.09375
ATUSSIN TAB B/25BLX4,Atussin Tab 50mg(25vix4vien),1,0.5641025641025641,0.5416666666666666
"TPBVSK: Ginkgo Biloba + Magnesium + Vitamin B6  (Hiệu Felix, Viên uống tăng cường tuần hoàn não, hộp 60 viên )",Atussin Tab 50mg(25vix4vien),0,0.173076923076923,0.10434782608695652
Blackmores Pregnancy & Breast Feeding Gold (60x18),Atussin Tab 50mg(25vix4vien),0,0.0317460317460317,0.0
PO000282292,Atussin Tab 50mg(25vix4vien),0,0.0,0.0
TELFAST BD 60MG TABCO BL30 VN,Atussin Tab 50mg(25vix4vien),0,0.1739130434782608,0.17543859649122806
Chiết khấu,Atussin Tab 50mg(25vix4vien),0,0.064516129032258,0.0
APISOLVAT 10G,Atussin Tab 50mg(25vix4vien),0,0.0588235294117647,0.0
Valsacard 160mg (Nước sx: Poland),Valsacard Polfarmex 160mg (4vi x 7vien),1,0.5,0.48484848484848486
Gói Thực phẩm dinh dưỡng y học Ensure Gold 850g&lt;br&gt;(Beta Glucan)&lt;br&gt;(01 gói gồm : &lt;br&gt;- 01 Thực phẩm dinh dưỡng y học Ensure Gold 850g&lt;br&gt;(Beta Glucan)&lt;br&gt;- 02 Thực phẩm dinh dưỡng  y học Ensure Gold hương vani ít ngọt 60.6g&lt;br&gt;(Beta Glucan) giá 0 đồng&lt;br&gt;&lt;br&gt;(Hàng khuyến mại không thu tiền)),Valsacard Polfarmex 160mg (4vi x 7vien),0,0.0434782608695652,0.022988505747126436
DIFELENE 50 MG 1x1x10 VIÊN,Valsacard Polfarmex 160mg (4vi x 7vien),0,0.2307692307692307,0.26229508196721313
MINIRIN TAB 0.1MG B/30,Valsacard Polfarmex 160mg (4vi x 7vien),0,0.0425531914893617,0.06896551724137931
BILAXTEN TAB 20MG 10'S,Valsacard Polfarmex 160mg (4vi x 7vien),0,0.125,0.10344827586206896
Grandaxin 50mg (Hộp 2 vỉ x 10 viên),Valsacard Polfarmex 160mg (4vi x 7vien),0,0.2857142857142857,0.29411764705882354
(PO000307121),Valsacard Polfarmex 160mg (4vi x 7vien),0,0.048780487804878,0.0
Durex - Bao cao su Naughty Chocolate 3s,Valsacard Polfarmex 160mg (4vi x 7vien),0,0.0983606557377049,0.027777777777777776
CONCOR COR TAB 2.5MG 3X10'S,Concor COR Tab 2.5mg(3vi x 10vien),1,0.8,0.8421052631578947
THỰC PHẨM BỔ SUNG: NƯỚC CHANH VITAMIN C CVITT 140ML,Concor COR Tab 2.5mg(3vi x 10vien),0,0.123076923076923,0.02564102564102564
Kẹo the không đường hương bánh cookie dâu Playmore hũ 22g,Concor COR Tab 2.5mg(3vi x 10vien),0,0.1126760563380281,0.024691358024691357
BVS MOLPED TN S.BAOVE SMCANH 8X8X6 VN,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,1,0.3055555555555556,0.2823529411764706
Kẹo thảo mộc Original hiệu Ricola 17.5g,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,0,0.1621621621621621,0.11363636363636363
ESORAGIM 20,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,0,0.0,0.0
DEBRIDAT TAB 100MG 30'S,Molped BVS Thien Nhien Ban Ngay Sieu Mong Canh 23cm 8M,0,0.0,0.0
BVS MOLPED TN M.LANH CANH 8X8X6,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,1,0.3783783783783784,0.35714285714285715
NIZORAL CREAM 15G B/1,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0,0.0,0.0
MICARDIS 40MG TABLETS B/30,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0,0.028169014084507,0.0
Kumano Sữa rửa mặt Reihaku Hatomugi 170g,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0,0.0963855421686747,0.06315789473684211
Xịt thơm miệng không cồn Dentiplus 25ml,Molped BVS Thien Nhien Mat Lanh Ban Ngay Sieu Mong Canh 23cm 8M,0,0.1951219512195122,0.10638297872340426
BVS MOLPED TN S.BANDEM CANH 35CM 3X8X6,Molped BVS Thien Nhien Ban Dem Co Canh 35cm 3M,1,0.6363636363636364,0.5609756097560976
